2017-03-10T17:45:57.447685 Beam Pointing
time	x0	y0
56.017	1103.37	578.46
56.197	1103.23	578.07
56.381	1103.60	578.07
56.574	1104.29	578.72
56.774	1103.69	578.09
56.954	1103.37	577.72
57.138	1103.46	576.97
57.323	1103.88	577.09
57.510	1104.80	577.36
57.714	1105.07	577.20
57.899	1104.08	577.26
58.086	1103.59	577.67
58.269	1103.37	578.02
58.459	1102.15	578.24
58.658	1103.35	579.26
58.851	1103.76	579.39
59.039	1103.96	578.77
59.231	1103.76	577.91
59.416	1104.08	577.85
59.619	1104.10	577.47
59.812	1104.19	577.95
60.004	1103.51	578.25
60.190	1103.31	578.84
60.382	1103.59	578.55
60.568	1103.61	578.77
60.755	1103.71	578.66
60.949	1104.01	579.12
61.143	1104.18	579.05
61.356	1104.32	578.32
61.555	1103.72	577.20
61.746	1103.14	576.06
